sentiment	review_text
pos	Estou contente com a compra entrega rápida o único problema com as <empresa> é se houver troca ou devolução do produto o consumidor tem problemas com espera.
pos	Excelente!!! Produto muito bom, bonito, design super moderno. De ótima qualidade! Gostei muito!
pos	Superou expectativas  É excelente para jogos, super rápido tela full hd tamanho ideal leve e Pratico
pos	Comprei o mesmo para minha irmã e ela me contou que ele é ótimo, rápido e a imagem é muito bonita. Tive oportunidade de mexer com ele e realmente ele cumpre com o que disse. Recomendo demais para quem estuda ou trabalha com um. Obrigado a <empresa> e a Asus!
pos	Notebbok muito bom! Rápido pequeno e leve para quem quer um notebook com um bom desempenho e que oculpa pouco espaço ele é perfeito. A autonomia da bateria é muito boa. Ele liga e desliga muito rápido.
pos	Ótimo custo-benefício, abre todos os programas pesados, rápido e não trava.
pos	O produto atendeu minha expectativa é de ótima qualidade e estou feliz com ele. A <empresa> entregou o produto antes do prazo, fiquei feliz e por este motivo que faço compras pelo site.
pos	Muito bom o produto, quem está em dúvida de um notebook esse é um produto médio entre bom e barato.
pos	Inicialmente gostaria de dizer que estou muito satisfeita com a qualidade do meu produto,não houve qualquer problema com avaria ou defeitos. Também gostaria de sinalizar a rapidez em que a entrega foi realizada. Quero deixar registrado minha satisfação pela compra deste produto. Muito obrigada à todos.
pos	Equipamento muito bom utilizo para escritório de contabilidade
pos	Leve e está atendendo as necessidades da faculdade da minha filha. Só está deixando a desejar o wi-fi. Não funciona direito.
pos	O produto atendeu bem a todas as minhas expectativas. Recomendado!
pos	Rápida entrega e atendeu a todas as minhas expectativas, a entrega estava prevista para 23 de janeiro e chegou dia 26 de dezembro, recomendo
pos	dei de presente de natal para meus sobrinhos, eles adoraram como são 8 tive q dar um pra cada
pos	Ótimo produto, bonito, leve, boa definição, instalei windows 10, equipamento para estudo e lazer, atende minhas necessidades, estou satisfeito com a compra, bem embalado, entrega no prazo.
pos	Pode parecer estranho mas este DELL não é, assim, tão melhor do que meu HP que tenho há mais de quatro anos e funciona. O DELL é bom. Preferiria que existisse na cor preta.
pos	OTIMO PRODUTO  RECOMENDO,FOI ENTREGUE ANTES DO PRAZO
pos	Produto excelente, atendeu as minhas expectativas.
pos	Ótimo produto com bom custo benefício. Recebi tudo em ordem!!!
pos	Recomendo o produto para todos aqueles que pretendem comprar, agilidade na preparação do produto e na entrega
pos	Atende super as necessidades, de fácil utilização, é bonito, não pesado.
neg	Fotos muito bonitas, porém material plastico de baixa qualidade.
pos	Satisfeito recomendo aos compradores das lojas <empresa>.
pos	muito bom, dentro das expectativas. chegou dentro do prazo.
neg	Se não falam da bateria, quantas células e tempo de uso, é porque tem baixa duração. Cuidado compradores! Para comprar notebook que a bateria demora uma hora e meia, é melhor não comprar.
neg	Não recomendo esse notebook. Quando o Windows 10 é atualizado, o HDMI não consegue transmitir sinal para a televisão. Entrei em contato com o suporte Dell, eles fizeram inúmeros procedimentos, mas de nada adiantou. O problema persiste.  Além de que é muito lento. Não corresponde o que determina a configuração.   Solicitei devolução/troca.
pos	Notebook 2 em 1 Compaq Presario CQ360 Intel Dual Core 4GB 500GB Tela 11 Windowns 10 Touch - Branco é excelente. Veio no prazo combinado pela loja.
pos	amei..facil para usar e muito lindo...era o que eu queria
pos	Excelente, adoreii  Chegou no prazo correto, super bem embalado e perfeito!!
pos	Produto muito bom. Vale o preço que custou. Recomendo.
pos	Produto muito bom. Computador com desempenho muito bom, ótimos recursos e fácil de transportar.
neg	Não recebi o produto porque fui enrolada pela <empresa>.
pos	Core i7 com qualidade Samsung por um preço bastante competiivo em relação a concorrência. O HD deixa a desejar por ser 5400RPM mas todo o resto do conjunto é válido.
pos	Tela fosca confortável para horas de trabalho, bom custo benefício
neg	Custo beneficio que não vale a pena..... e bla bla e bla é só para encher e atender o requisito de avaliação;;...
neg	O Notebook foi um presente de Natal para minha filha. Nós o recebemos no dia 22/12 e, neste dia, funcionou sem problemas. No dia seguinte (23/12) o Note não ligou. Mesmo estando com a bateria carregada, só funcionava quando conectado na tomada.
pos	até então, perfeito. Tudo que pretendia com ele, fiz........
pos	Notebook muito bom, faz 1 mês que estou utilizando e até agora funcionando perfeitamente. DESTAQUES: Tela agradável de se trabalhar, teclados macios, audio satisfatório, ótimo desempenho no geral. DEIXA A DESEJAR: falta de leitor CD/DVD, pouca entrada para USB.
pos	Notebook muito bom para trabalhos rapidos, pratico para reunioes!! altamente recomendado!
pos	Melhor custo beneficio do mercado!  Até mesmo para usuários de games não tão pesados é uma excelente pedida.
pos	Boa relação de custo x benefício. Produto de boa qualidade!
pos	Recebi há pouco tempo, ainda estou avaliando mas está ótimo. Gostei !!
pos	Tinha expectativas altas pelo produto e todas foram atendidas. Utilizo tanto para trabalhar com uso de programas como Photoshop, quanto para jogos.
pos	Este computador é excelente para usuários de Linux. Após a atualização para o sistema 17.10 ele fica ótimo. A placa de vídeo é reconhecida automaticamente. Não tentei instalar o Windowns, mas não é difícil, basta colocar no modo Legacy. Vale  ressaltar que é um computador que não tem VGA. Além disso, pelo tamamho não é o mais adequado para quem visita muitos ambientes.  O que mais gostei dessa compra foi a relação custo benefício. Uma dificuldade que encontrei foi para descobrir quantos slots existem no computador pelo site da DELL. O teclado é feio, meio diferente, mas a qualidade das teclas é boa.  O único problema de comprar na <empresa> é a quantidade de dias de espera. Acho que eles ganham bastante dinheiro segurando o nosso dinheiro, já que paguei à vista.
neg	A assistência técnica poderia dar um pouco mais de atenção pra nós, clientes, acessei no PC a assistência técnica e o computador não consegue nem carregar a página de forma correta, e olha que não é a internet da que de casa, por que meu celular é muito mais rápido que esse notebook, não recomendado, produto horrível, terei que contatar a assistência técnica, não vejo necessidade para algo assim, os produtos deveriam vir perfeitos.
pos	Excelente o produto chegou bem antes do combinado, chegou em perfeito estado. Recomendo.
pos	Adorei o produto, muito bom, excelente acabamento e ótima configuração. Porém achei 2 problemas, 1 que não tem entrada para o microfone, somente da para utilizar o que vem de fabrica internamente, e não apresenta luz de LED, indicadora, de carregamento concluído, e nem de caps look acionado, o que atrapalha e muito na utilização do mesmo.
pos	Embora não seja um pc-gamer a configuração permite rodar tudo que preciso com excelente qualidade. Até o momento só felicidade com o note
pos	Excelente produto, gostei muito e recomendo sua compra
neg	Prós: Marca renomada/possível boa durabilidade. Contras: processador lento/ aparelho pesado/ bateria dura pouco/ não vem com Office
pos	Bonito, leve e bom. Gostei muito, nada mais a declarar. Grato
pos	Aparelho bastante rápido e de fácil acesso pelo wifi. Possui ótima configuração e também possui drive de CD e DVD, necessário para minhas tarefas. Estou satisfeito com essa aquisição e recomendo o produto. Parabéns às Lojas <empresa> pela entrega rápida.
pos	Esse notebook foi presente para meu filho de 11 anos que queria um notebook gamer para poder jogar. No mercado os computadores com configuração para jogos são bem mais caros, porém a configuração desse notebook atendeu as plenamente às expectativas dele com um custo bem mais acessível
pos	Houve extravio durante o transporte, mas tudo foi solucionado
pos	Foi presente de Natal para meu filho e ele está se divertindo muito, não desgruda!
pos	Gostei demais do PRODUTO ESTAR ME ATENDENDO EM TUDO QUE NECESSITO
pos	Muito bom! A vista de outros, é um produto leve, prático e tem suprido minhas necessidades.
pos	Vocês deveriam trabalhar com Sedex em todos os produtos, pq se eu compro muitas vezes eu quero entrega express.. pensem nisso. O aparelho não tem nem o que falar a marca Acer é excelente.
pos	O produto tem desempenho excelente,acabamento de alta qualidade,no quesito dos cuidados ao transportar tambem nao há do q se reclamar...<empresa> nota 1000
neg	Comprei o notebook,e no segundo dia de uso ele não liga mais,fora o transtorno da coleta que ainda não foi feita.
pos	Muito bom. Produto de extrema qualidade, conforme o que esperava mesmo.
pos	Produto chegou dentro do prazo, é leve, de design fino e elegante. Possui praticidade e vem com todos os programas necessários para o uso do dia a dia. Para quem usa de forma mais intensa (como quando for jogar, por exemplo) recomendo a compra de um cooler para ajudar no resfriamento do notebook. Excelente produto, atendeu minhas expectativas -- e até mesmo superou-as.
neg	O produto nem sequer iniciou....estou insatisfeita.  Reinicia automaticamente e constantemente. ..Estou tentando a troca ou devolução do produto...no momento aguardando um retorno da <empresa> sobre minha solicitação. ..
pos	Muito bom o Notebook, supre todas as minhas necessidades, bem rápido e eficiente ... E a entrega da <empresa> foi executada com excelência, entregaram antes do prazo, muito bom !
pos	Notebook rápido bom para jogos, excelente compra pode comprar sem medo.
pos	Chegou antes do prazo! O material confere com o anunciado!Sastifeita
pos	Houve atraso na entrega  E rastreamento é deficitário  Mas o produto é ótimo
neg	Usei o produto só algumas vezes durante  um período de menos um mês que recebi em minha casa dia 13 de dezembro guardei o computador e quando fui usar novamente no dia 30 ele já deu pau, ou seja o sistema operacional não abre mais.
pos	Ótima velocidade de processamento, espaço de armazenamento, etc. vale cada real investido!!
pos	Gostei muito do produto, e recomendo, produto bom, entrega dentro do esperado
pos	Gostei bastante do produto e não possuo reclamações.
pos	Gente, vale muito a pena. É simplesmente ótimo! Supriu muito minhas expectativas.
pos	muito bom ....recomendo...atende as necessidaes ...vale a pena comprar
pos	Gostei bastante, o notebook se comporta muito bem, mesmo em stress, da pra jogar bastante coisa (GTA V, Bf4, Lol...), o único problema é que o processador fica debaixo do W A S D, então esquenta muito, as vezes a ponto de incomodar. Alguns programas que vem pré-instalados atrapalham um pouco, como o anti-vírus. A tela é boa, mas nada excepcional, o som é de qualidade, mesmo em volumes mais altos ele não perde o foco. O HD faz um barulho característico, mas nada que atrapalhe, pode incomodar pra quem é mais exigente quanto a ruido. O acabamento é bonito e ele é bem leve, sem falar na possibilidade de adicionar um novo HD ou SSD, devido ao slot de gravador de CD estar vazio. No geral é um excelente computador, comprei com o intuito de usar para trabalho, mas como gosto de games, instalei alguns, os quais funcionaram muito bem, então mesmo sendo um computador de trabalho posso leva-lo onde for que vou me divertir.
pos	Ótimo Produto!!! Com a grana que tá vendendo aqui eu viajei pros EUAs com a família e comprei um pra cada!!!! Somos em 4!!
