combination,accuracy,0_precision,0_recall,0_f1-score,0_support,1_precision,1_recall,1_f1-score,1_support
"expand_contractions, mark_syntactic_negation, remove_stopwords, stem",0.712453454695904,0.5226824457593688,0.7152496626180836,0.6039886039886039,741.0,0.849607982893799,0.711217183770883,0.7742773627801235,1676.0
"expand_contractions, mark_syntactic_negation, pos_tagging, remove_stopwords, stem",0.7120397186594952,0.5227043390514632,0.699055330634278,0.5981524249422634,741.0,0.8436185133239832,0.7177804295942721,0.7756286266924566,1676.0
"expand_contractions, mark_syntactic_negation, stem",0.7211419114604882,0.533201189296333,0.7260458839406208,0.6148571428571429,741.0,0.8558238636363636,0.7189737470167065,0.7814526588845655,1676.0
"clean, expand_contractions, lemmatize",0.6967314853123707,0.5039370078740157,0.6909581646423751,0.582811610700057,741.0,0.8365453247680228,0.6992840095465394,0.7617809554761131,1676.0
"clean, pos_tagging, remove_stopwords",0.7037649979313199,0.5127681307456589,0.6774628879892037,0.5837209302325581,741.0,0.8337969401947148,0.7153937947494033,0.7700706486833653,1676.0
"clean, remove_stopwords, lemmatize",0.6901117087298304,0.4960159362549801,0.6720647773279352,0.5707736389684814,741.0,0.8280254777070064,0.698090692124105,0.7575267076723858,1676.0
"expand_contractions, mark_morphological_negation, mark_syntactic_negation, remove_stopwords, stem",0.7079023582954075,0.5174476570289133,0.7004048582995951,0.5951834862385321,741.0,0.842998585572843,0.711217183770883,0.7715210355987054,1676.0
clean,0.5573024410426148,0.35004557885141296,0.5182186234817814,0.4178454842219805,741.0,0.7295454545454545,0.5745823389021479,0.6428571428571428,1676.0
"expand_contractions, mark_syntactic_negation, pos_tagging, stem",0.7045924700041374,0.5133267522211253,0.7017543859649122,0.5929304446978335,741.0,0.8425925925925926,0.7058472553699284,0.7681818181818181,1676.0
"clean, expand_contractions, remove_stopwords, lemmatize",0.6768721555647497,0.4805447470817121,0.6666666666666666,0.5585076314301866,741.0,0.822174226061915,0.6813842482100239,0.7451876019575855,1676.0
"clean, pos_tagging",0.6851468762929251,0.49034749034749037,0.6855600539811066,0.5717501406865505,741.0,0.8312816799420709,0.684964200477327,0.7510631337912987,1676.0
"clean, expand_contractions, remove_stopwords",0.7062474141497724,0.5160955347871236,0.6707152496626181,0.5833333333333334,741.0,0.8321870701513068,0.7219570405727923,0.7731629392971245,1676.0
"expand_contractions, mark_morphological_negation, mark_syntactic_negation, pos_tagging, stem",0.7083160943318163,0.5181086519114688,0.6950067476383266,0.5936599423631124,741.0,0.8411806043569923,0.714200477326969,0.7725072604065827,1676.0
"clean, lemmatize",0.6901117087298304,0.4960159362549801,0.6720647773279352,0.5707736389684814,741.0,0.8280254777070064,0.698090692124105,0.7575267076723858,1676.0
"expand_contractions, mark_morphological_negation, mark_syntactic_negation, pos_tagging, remove_stopwords, stem",0.7186594952420355,0.5308392315470172,0.708502024291498,0.6069364161849711,741.0,0.8487394957983193,0.7231503579952268,0.7809278350515464,1676.0
"expand_contractions, mark_morphological_negation, mark_syntactic_negation, stem",0.70707488622259,0.516256157635468,0.7071524966261808,0.5968109339407744,741.0,0.8452211126961484,0.7070405727923628,0.7699805068226121,1676.0
"clean, expand_contractions",0.5726106743897393,0.36894075403949733,0.5546558704453441,0.4431266846361186,741.0,0.7467382962394474,0.5805489260143198,0.6532393420610944,1676.0
"expand_contractions, mark_syntactic_negation, lemmatize, stem",0.7128671907323127,0.5230618253189402,0.7192982456140351,0.6056818181818183,741.0,0.8512160228898427,0.7100238663484487,0.7742355237475602,1676.0
"clean, pos_tagging, remove_stopwords, lemmatize",0.6830781961108813,0.4877571008814887,0.6720647773279352,0.565266742338252,741.0,0.8259312320916905,0.6879474940334129,0.7506510416666667,1676.0
"clean, remove_stopwords",0.7008688456764585,0.5090725806451613,0.6815114709851552,0.582804385458742,741.0,0.8343859649122807,0.7094272076372315,0.7668494034182523,1676.0
