combination,accuracy,0_precision,0_recall,0_f1-score,0_support,1_precision,1_recall,1_f1-score,1_support
"clean, pos_tagging, remove_stopwords, lemmatize",0.8332643773272652,0.6794055201698513,0.863697705802969,0.7605466428995842,741.0,0.9315254237288135,0.8198090692124105,0.8721040939384321,1676.0
"clean, expand_contractions, remove_stopwords, lemmatize",0.8332643773272652,0.6794055201698513,0.863697705802969,0.7605466428995842,741.0,0.9315254237288135,0.8198090692124105,0.8721040939384321,1676.0
"clean, lemmatize",0.8332643773272652,0.6794055201698513,0.863697705802969,0.7605466428995842,741.0,0.9315254237288135,0.8198090692124105,0.8721040939384321,1676.0
"clean, pos_tagging, lemmatize",0.8332643773272652,0.6794055201698513,0.863697705802969,0.7605466428995842,741.0,0.9315254237288135,0.8198090692124105,0.8721040939384321,1676.0
"clean, expand_contractions, lemmatize",0.8332643773272652,0.6794055201698513,0.863697705802969,0.7605466428995842,741.0,0.9315254237288135,0.8198090692124105,0.8721040939384321,1676.0
"clean, expand_contractions, pos_tagging, remove_stopwords, lemmatize",0.8332643773272652,0.6794055201698513,0.863697705802969,0.7605466428995842,741.0,0.9315254237288135,0.8198090692124105,0.8721040939384321,1676.0
"clean, expand_contractions",0.8278858088539511,0.672322375397667,0.8556005398110661,0.7529691211401426,741.0,0.9274084124830394,0.8156324582338902,0.8679365079365079,1676.0
"clean, expand_contractions, pos_tagging, remove_stopwords",0.8121638394704179,0.6518518518518519,0.8313090418353576,0.730723606168446,741.0,0.9150815217391305,0.8036992840095465,0.8557814485387548,1676.0
"clean, expand_contractions, pos_tagging",0.8254033926354986,0.6680716543730242,0.8556005398110661,0.7502958579881657,741.0,0.9271117166212534,0.8120525059665871,0.8657760814249363,1676.0
"clean, remove_stopwords, lemmatize",0.8332643773272652,0.6794055201698513,0.863697705802969,0.7605466428995842,741.0,0.9315254237288135,0.8198090692124105,0.8721040939384321,1676.0
"clean, expand_contractions, pos_tagging, lemmatize",0.8332643773272652,0.6794055201698513,0.863697705802969,0.7605466428995842,741.0,0.9315254237288135,0.8198090692124105,0.8721040939384321,1676.0
"clean, expand_contractions, remove_stopwords",0.8121638394704179,0.6518518518518519,0.8313090418353576,0.730723606168446,741.0,0.9150815217391305,0.8036992840095465,0.8557814485387548,1676.0
clean,0.822920976417046,0.6659597030752916,0.8475033738191633,0.7458432304038004,741.0,0.923337856173677,0.8120525059665871,0.8641269841269841,1676.0
"clean, remove_stopwords",0.8121638394704179,0.6518518518518519,0.8313090418353576,0.730723606168446,741.0,0.9150815217391305,0.8036992840095465,0.8557814485387548,1676.0
expand_contractions,0.8278858088539511,0.672322375397667,0.8556005398110661,0.7529691211401426,741.0,0.9274084124830394,0.8156324582338902,0.8679365079365079,1676.0
"clean, pos_tagging, remove_stopwords",0.8121638394704179,0.6518518518518519,0.8313090418353576,0.730723606168446,741.0,0.9150815217391305,0.8036992840095465,0.8557814485387548,1676.0
"expand_contractions, lemmatize",0.8332643773272652,0.6794055201698513,0.863697705802969,0.7605466428995842,741.0,0.9315254237288135,0.8198090692124105,0.8721040939384321,1676.0
"clean, pos_tagging",0.8254033926354986,0.6680716543730242,0.8556005398110661,0.7502958579881657,741.0,0.9271117166212534,0.8120525059665871,0.8657760814249363,1676.0
"expand_contractions, pos_tagging, remove_stopwords",0.8121638394704179,0.6518518518518519,0.8313090418353576,0.730723606168446,741.0,0.9150815217391305,0.8036992840095465,0.8557814485387548,1676.0
"expand_contractions, pos_tagging",0.8254033926354986,0.6680716543730242,0.8556005398110661,0.7502958579881657,741.0,0.9271117166212534,0.8120525059665871,0.8657760814249363,1676.0
