combination,accuracy,0_precision,0_recall,0_f1-score,0_support,1_precision,1_recall,1_f1-score,1_support
"clean, pos_tagging, remove_stopwords, lemmatize",0.6702523789822094,0.47560975609756095,0.7368421052631579,0.5780836421386977,741.0,0.8463356973995272,0.6408114558472554,0.7293718166383701,1676.0
"clean, expand_contractions, remove_stopwords, lemmatize",0.6702523789822094,0.47560975609756095,0.7368421052631579,0.5780836421386977,741.0,0.8463356973995272,0.6408114558472554,0.7293718166383701,1676.0
"clean, lemmatize",0.6702523789822094,0.47560975609756095,0.7368421052631579,0.5780836421386977,741.0,0.8463356973995272,0.6408114558472554,0.7293718166383701,1676.0
"clean, pos_tagging, lemmatize",0.6702523789822094,0.47560975609756095,0.7368421052631579,0.5780836421386977,741.0,0.8463356973995272,0.6408114558472554,0.7293718166383701,1676.0
"clean, expand_contractions, lemmatize",0.6702523789822094,0.47560975609756095,0.7368421052631579,0.5780836421386977,741.0,0.8463356973995272,0.6408114558472554,0.7293718166383701,1676.0
"clean, expand_contractions, pos_tagging, remove_stopwords, lemmatize",0.6702523789822094,0.47560975609756095,0.7368421052631579,0.5780836421386977,741.0,0.8463356973995272,0.6408114558472554,0.7293718166383701,1676.0
"clean, expand_contractions",0.6785270997103848,0.48375451263537905,0.7233468286099866,0.5797728501892916,741.0,0.8433919022154316,0.6587112171837709,0.7396984924623116,1676.0
"clean, expand_contractions, pos_tagging, remove_stopwords",0.663632602399669,0.4679144385026738,0.708502024291498,0.5636070853462157,741.0,0.8332046332046332,0.6437947494033412,0.7263547627061596,1676.0
"clean, expand_contractions, pos_tagging",0.6793545717832024,0.484573502722323,0.7206477732793523,0.5794899620184483,741.0,0.8425855513307985,0.6610978520286396,0.7408893346706787,1676.0
"clean, remove_stopwords, lemmatize",0.6702523789822094,0.47560975609756095,0.7368421052631579,0.5780836421386977,741.0,0.8463356973995272,0.6408114558472554,0.7293718166383701,1676.0
"clean, expand_contractions, pos_tagging, lemmatize",0.6702523789822094,0.47560975609756095,0.7368421052631579,0.5780836421386977,741.0,0.8463356973995272,0.6408114558472554,0.7293718166383701,1676.0
"clean, expand_contractions, remove_stopwords",0.663632602399669,0.4679144385026738,0.708502024291498,0.5636070853462157,741.0,0.8332046332046332,0.6437947494033412,0.7263547627061596,1676.0
clean,0.7004551096400496,0.5082284607938045,0.708502024291498,0.5918827508455468,741.0,0.8439306358381503,0.6968973747016707,0.7633986928104576,1676.0
"clean, remove_stopwords",0.663632602399669,0.4679144385026738,0.708502024291498,0.5636070853462157,741.0,0.8332046332046332,0.6437947494033412,0.7263547627061596,1676.0
expand_contractions,0.6785270997103848,0.48375451263537905,0.7233468286099866,0.5797728501892916,741.0,0.8433919022154316,0.6587112171837709,0.7396984924623116,1676.0
"clean, pos_tagging, remove_stopwords",0.663632602399669,0.4679144385026738,0.708502024291498,0.5636070853462157,741.0,0.8332046332046332,0.6437947494033412,0.7263547627061596,1676.0
"expand_contractions, lemmatize",0.6702523789822094,0.47560975609756095,0.7368421052631579,0.5780836421386977,741.0,0.8463356973995272,0.6408114558472554,0.7293718166383701,1676.0
"clean, pos_tagging",0.6793545717832024,0.484573502722323,0.7206477732793523,0.5794899620184483,741.0,0.8425855513307985,0.6610978520286396,0.7408893346706787,1676.0
"expand_contractions, pos_tagging, remove_stopwords",0.663632602399669,0.4679144385026738,0.708502024291498,0.5636070853462157,741.0,0.8332046332046332,0.6437947494033412,0.7263547627061596,1676.0
"expand_contractions, pos_tagging",0.6793545717832024,0.484573502722323,0.7206477732793523,0.5794899620184483,741.0,0.8425855513307985,0.6610978520286396,0.7408893346706787,1676.0
