combination,accuracy,0_precision,0_recall,0_f1-score,0_support,1_precision,1_recall,1_f1-score,1_support
"clean, expand_contractions, remove_stopwords, lemmatize",0.8531237070748863,0.7040169133192389,0.8987854251012146,0.7895672791938353,741.0,0.9490142760027193,0.8329355608591885,0.8871941531617413,1676.0
"clean, lemmatize",0.8531237070748863,0.7040169133192389,0.8987854251012146,0.7895672791938353,741.0,0.9490142760027193,0.8329355608591885,0.8871941531617413,1676.0
"clean, remove_stopwords",0.8494000827472072,0.6986301369863014,0.8947368421052632,0.7846153846153846,741.0,0.946866485013624,0.8293556085918854,0.8842239185750637,1676.0
"clean, expand_contractions, lemmatize",0.8531237070748863,0.7040169133192389,0.8987854251012146,0.7895672791938353,741.0,0.9490142760027193,0.8329355608591885,0.8871941531617413,1676.0
"clean, remove_stopwords, lemmatize",0.8531237070748863,0.7040169133192389,0.8987854251012146,0.7895672791938353,741.0,0.9490142760027193,0.8329355608591885,0.8871941531617413,1676.0
"clean, expand_contractions, remove_stopwords",0.8494000827472072,0.6986301369863014,0.8947368421052632,0.7846153846153846,741.0,0.946866485013624,0.8293556085918854,0.8842239185750637,1676.0
"clean, expand_contractions, pos_tagging, remove_stopwords",0.8494000827472072,0.6986301369863014,0.8947368421052632,0.7846153846153846,741.0,0.946866485013624,0.8293556085918854,0.8842239185750637,1676.0
"clean, pos_tagging",0.8531237070748863,0.7075268817204301,0.8879892037786775,0.7875523638539795,741.0,0.9441829186281103,0.837708830548926,0.8877647802718938,1676.0
"clean, expand_contractions",0.8572610674389739,0.7133620689655172,0.893387314439946,0.793289394847214,741.0,0.9469442578912022,0.8412887828162291,0.8909952606635072,1676.0
"clean, pos_tagging, remove_stopwords, lemmatize",0.8531237070748863,0.7040169133192389,0.8987854251012146,0.7895672791938353,741.0,0.9490142760027193,0.8329355608591885,0.8871941531617413,1676.0
"clean, expand_contractions, pos_tagging, lemmatize",0.8531237070748863,0.7040169133192389,0.8987854251012146,0.7895672791938353,741.0,0.9490142760027193,0.8329355608591885,0.8871941531617413,1676.0
"clean, expand_contractions, pos_tagging",0.8531237070748863,0.7075268817204301,0.8879892037786775,0.7875523638539795,741.0,0.9441829186281103,0.837708830548926,0.8877647802718938,1676.0
"clean, pos_tagging, remove_stopwords",0.8494000827472072,0.6986301369863014,0.8947368421052632,0.7846153846153846,741.0,0.946866485013624,0.8293556085918854,0.8842239185750637,1676.0
"expand_contractions, remove_stopwords",0.8494000827472072,0.6986301369863014,0.8947368421052632,0.7846153846153846,741.0,0.946866485013624,0.8293556085918854,0.8842239185750637,1676.0
clean,0.8601572196938353,0.7155080213903743,0.902834008097166,0.7983293556085919,741.0,0.951417004048583,0.8412887828162291,0.8929702343255224,1676.0
expand_contractions,0.8572610674389739,0.7133620689655172,0.893387314439946,0.793289394847214,741.0,0.9469442578912022,0.8412887828162291,0.8909952606635072,1676.0
"clean, expand_contractions, pos_tagging, remove_stopwords, lemmatize",0.8531237070748863,0.7040169133192389,0.8987854251012146,0.7895672791938353,741.0,0.9490142760027193,0.8329355608591885,0.8871941531617413,1676.0
"expand_contractions, pos_tagging, remove_stopwords",0.8494000827472072,0.6986301369863014,0.8947368421052632,0.7846153846153846,741.0,0.946866485013624,0.8293556085918854,0.8842239185750637,1676.0
"clean, pos_tagging, lemmatize",0.8531237070748863,0.7040169133192389,0.8987854251012146,0.7895672791938353,741.0,0.9490142760027193,0.8329355608591885,0.8871941531617413,1676.0
"expand_contractions, pos_tagging",0.8531237070748863,0.7075268817204301,0.8879892037786775,0.7875523638539795,741.0,0.9441829186281103,0.837708830548926,0.8877647802718938,1676.0
