combination,0_precision,0_recall,0_f1-score,0_support,1_precision,1_recall,1_f1-score,1_support,accuracy
"clean, remove_stopwords",0.674796748,0.8960863698,0.7698550725,741,0.9462665736,0.8090692124,0.8723062078,1676,0.8357467935
"clean, expand_contractions, pos_tagging, lemmatize",0.6679841897,0.9122807018,0.7712492869,741,0.9537366548,0.799522673,0.8698474521,1676,0.8340918494
"clean, expand_contractions, remove_stopwords, lemmatize",0.6679841897,0.9122807018,0.7712492869,741,0.9537366548,0.799522673,0.8698474521,1676,0.8340918494
"clean, lemmatize",0.6679841897,0.9122807018,0.7712492869,741,0.9537366548,0.799522673,0.8698474521,1676,0.8340918494
"clean, pos_tagging",0.6726907631,0.9041835358,0.7714450201,741,0.9500351865,0.8054892601,0.8718114304,1676,0.8357467935
"clean, expand_contractions",0.6736947791,0.9055330634,0.7725964306,741,0.9507389163,0.8060859189,0.8724572167,1676,0.8365742656
"clean, remove_stopwords, lemmatize",0.6679841897,0.9122807018,0.7712492869,741,0.9537366548,0.799522673,0.8698474521,1676,0.8340918494
"clean, expand_contractions, lemmatize",0.6679841897,0.9122807018,0.7712492869,741,0.9537366548,0.799522673,0.8698474521,1676,0.8340918494
"clean, expand_contractions, remove_stopwords",0.674796748,0.8960863698,0.7698550725,741,0.9462665736,0.8090692124,0.8723062078,1676,0.8357467935
"clean, pos_tagging, remove_stopwords, lemmatize",0.6679841897,0.9122807018,0.7712492869,741,0.9537366548,0.799522673,0.8698474521,1676,0.8340918494
"clean, expand_contractions, pos_tagging",0.6726907631,0.9041835358,0.7714450201,741,0.9500351865,0.8054892601,0.8718114304,1676,0.8357467935
"clean, expand_contractions, pos_tagging, remove_stopwords",0.674796748,0.8960863698,0.7698550725,741,0.9462665736,0.8090692124,0.8723062078,1676,0.8357467935
"clean, pos_tagging, lemmatize",0.6679841897,0.9122807018,0.7712492869,741,0.9537366548,0.799522673,0.8698474521,1676,0.8340918494
"clean, pos_tagging, remove_stopwords",0.674796748,0.8960863698,0.7698550725,741,0.9462665736,0.8090692124,0.8723062078,1676,0.8357467935
"expand_contractions, lemmatize",0.6679841897,0.9122807018,0.7712492869,741,0.9537366548,0.799522673,0.8698474521,1676,0.8340918494
clean,0.6853220697,0.8758434548,0.768957346,741,0.937414966,0.8221957041,0.8760330579,1676,0.8386429458
"expand_contractions, pos_tagging",0.6726907631,0.9041835358,0.7714450201,741,0.9500351865,0.8054892601,0.8718114304,1676,0.8357467935
"expand_contractions, remove_stopwords, lemmatize",0.6679841897,0.9122807018,0.7712492869,741,0.9537366548,0.799522673,0.8698474521,1676,0.8340918494
"expand_contractions, pos_tagging, remove_stopwords",0.674796748,0.8960863698,0.7698550725,741,0.9462665736,0.8090692124,0.8723062078,1676,0.8357467935
"clean, expand_contractions, pos_tagging, remove_stopwords, lemmatize",0.6679841897,0.9122807018,0.7712492869,741,0.9537366548,0.799522673,0.8698474521,1676,0.8340918494
