combination,accuracy,0_precision,0_recall,0_f1-score,0_support,1_precision,1_recall,1_f1-score,1_support
"clean, lemmatize",0.8163011998345056,0.6529351184346035,0.8556005398110661,0.7406542056074766,741.0,0.926002766251729,0.798926014319809,0.8577834721332479,1676.0
"clean, expand_contractions, pos_tagging, lemmatize",0.8163011998345056,0.6529351184346035,0.8556005398110661,0.7406542056074766,741.0,0.926002766251729,0.798926014319809,0.8577834721332479,1676.0
"clean, expand_contractions, lemmatize",0.8163011998345056,0.6529351184346035,0.8556005398110661,0.7406542056074766,741.0,0.926002766251729,0.798926014319809,0.8577834721332479,1676.0
"clean, expand_contractions",0.815473727761688,0.6534859521331946,0.8475033738191633,0.7379553466509988,741.0,0.9223901098901099,0.8013126491646778,0.8575989782886334,1676.0
"clean, remove_stopwords, lemmatize",0.8163011998345056,0.6529351184346035,0.8556005398110661,0.7406542056074766,741.0,0.926002766251729,0.798926014319809,0.8577834721332479,1676.0
"clean, pos_tagging, remove_stopwords",0.8262308647083161,0.6691253951527925,0.8569500674763832,0.7514792899408284,741.0,0.9277929155313351,0.8126491646778043,0.8664122137404581,1676.0
"clean, pos_tagging, remove_stopwords, lemmatize",0.8163011998345056,0.6529351184346035,0.8556005398110661,0.7406542056074766,741.0,0.926002766251729,0.798926014319809,0.8577834721332479,1676.0
"clean, expand_contractions, pos_tagging, remove_stopwords, lemmatize",0.8163011998345056,0.6529351184346035,0.8556005398110661,0.7406542056074766,741.0,0.926002766251729,0.798926014319809,0.8577834721332479,1676.0
"clean, pos_tagging, lemmatize",0.8163011998345056,0.6529351184346035,0.8556005398110661,0.7406542056074766,741.0,0.926002766251729,0.798926014319809,0.8577834721332479,1676.0
"clean, expand_contractions, pos_tagging",0.8208522962350021,0.6624472573839663,0.8475033738191633,0.7436352871521611,741.0,0.9230769230769231,0.8090692124105012,0.8623211446740858,1676.0
"clean, expand_contractions, remove_stopwords, lemmatize",0.8163011998345056,0.6529351184346035,0.8556005398110661,0.7406542056074766,741.0,0.926002766251729,0.798926014319809,0.8577834721332479,1676.0
"clean, expand_contractions, pos_tagging, remove_stopwords",0.8262308647083161,0.6691253951527925,0.8569500674763832,0.7514792899408284,741.0,0.9277929155313351,0.8126491646778043,0.8664122137404581,1676.0
"clean, pos_tagging",0.8208522962350021,0.6624472573839663,0.8475033738191633,0.7436352871521611,741.0,0.9230769230769231,0.8090692124105012,0.8623211446740858,1676.0
"clean, remove_stopwords",0.8262308647083161,0.6691253951527925,0.8569500674763832,0.7514792899408284,741.0,0.9277929155313351,0.8126491646778043,0.8664122137404581,1676.0
clean,0.8175424079437319,0.6578947368421053,0.8434547908232118,0.7392075694855116,741.0,0.9209270620313565,0.8060859188544153,0.8596881959910914,1676.0
"expand_contractions, pos_tagging",0.8208522962350021,0.6624472573839663,0.8475033738191633,0.7436352871521611,741.0,0.9230769230769231,0.8090692124105012,0.8623211446740858,1676.0
"clean, expand_contractions, remove_stopwords",0.8262308647083161,0.6691253951527925,0.8569500674763832,0.7514792899408284,741.0,0.9277929155313351,0.8126491646778043,0.8664122137404581,1676.0
"expand_contractions, remove_stopwords",0.8262308647083161,0.6691253951527925,0.8569500674763832,0.7514792899408284,741.0,0.9277929155313351,0.8126491646778043,0.8664122137404581,1676.0
"expand_contractions, pos_tagging, remove_stopwords, lemmatize",0.8163011998345056,0.6529351184346035,0.8556005398110661,0.7406542056074766,741.0,0.926002766251729,0.798926014319809,0.8577834721332479,1676.0
expand_contractions,0.815473727761688,0.6534859521331946,0.8475033738191633,0.7379553466509988,741.0,0.9223901098901099,0.8013126491646778,0.8575989782886334,1676.0
