combination,accuracy,0_precision,0_recall,0_f1-score,0_support,1_precision,1_recall,1_f1-score,1_support
"clean, remove_stopwords, lemmatize",0.7939594388008118,0.6584362139917695,0.863697705802969,0.7472270869819031,741.0,0.9301038062283737,0.801909307875895,0.8612624158923422,1676.0
"clean, expand_contractions, remove_stopwords, lemmatize",0.7823748588562012,0.6584362139917695,0.863697705802969,0.7472270869819031,741.0,0.9301038062283737,0.801909307875895,0.8612624158923422,1676.0
"clean, lemmatize",0.7699627876281738,0.6584362139917695,0.863697705802969,0.7472270869819031,741.0,0.9301038062283737,0.801909307875895,0.8612624158923422,1676.0
"clean, expand_contractions, lemmatize",0.7757550477981567,0.6584362139917695,0.863697705802969,0.7472270869819031,741.0,0.9301038062283737,0.801909307875895,0.8612624158923422,1676.0
"clean, expand_contractions, remove_stopwords",0.7265204787254333,0.6584362139917695,0.863697705802969,0.7472270869819031,741.0,0.9301038062283737,0.801909307875895,0.8612624158923422,1676.0
"clean, expand_contractions, pos_tagging, lemmatize",0.7869259119033813,0.6584362139917695,0.863697705802969,0.7472270869819031,741.0,0.9301038062283737,0.801909307875895,0.8612624158923422,1676.0
"clean, pos_tagging, remove_stopwords, lemmatize",0.7798924446105957,0.6584362139917695,0.863697705802969,0.7472270869819031,741.0,0.9301038062283737,0.801909307875895,0.8612624158923422,1676.0
"clean, remove_stopwords",0.7765825390815735,0.6584362139917695,0.863697705802969,0.7472270869819031,741.0,0.9301038062283737,0.801909307875895,0.8612624158923422,1676.0
"clean, expand_contractions, pos_tagging, remove_stopwords, lemmatize",0.7827885746955872,0.6584362139917695,0.863697705802969,0.7472270869819031,741.0,0.9301038062283737,0.801909307875895,0.8612624158923422,1676.0
"clean, pos_tagging",0.8278858065605164,0.6584362139917695,0.863697705802969,0.7472270869819031,741.0,0.9301038062283737,0.801909307875895,0.8612624158923422,1676.0
clean,0.8063715100288391,0.6584362139917695,0.863697705802969,0.7472270869819031,741.0,0.9301038062283737,0.801909307875895,0.8612624158923422,1676.0
"clean, pos_tagging, remove_stopwords",0.7856847047805786,0.6584362139917695,0.863697705802969,0.7472270869819031,741.0,0.9301038062283737,0.801909307875895,0.8612624158923422,1676.0
"clean, pos_tagging, lemmatize",0.7856847047805786,0.6584362139917695,0.863697705802969,0.7472270869819031,741.0,0.9301038062283737,0.801909307875895,0.8612624158923422,1676.0
"clean, expand_contractions",0.8332643508911133,0.6584362139917695,0.863697705802969,0.7472270869819031,741.0,0.9301038062283737,0.801909307875895,0.8612624158923422,1676.0
"clean, expand_contractions, pos_tagging",0.7844434976577759,0.6584362139917695,0.863697705802969,0.7472270869819031,741.0,0.9301038062283737,0.801909307875895,0.8612624158923422,1676.0
"expand_contractions, remove_stopwords",0.7997517585754395,0.6584362139917695,0.863697705802969,0.7472270869819031,741.0,0.9301038062283737,0.801909307875895,0.8612624158923422,1676.0
"clean, expand_contractions, pos_tagging, remove_stopwords",0.7517583966255188,0.6584362139917695,0.863697705802969,0.7472270869819031,741.0,0.9301038062283737,0.801909307875895,0.8612624158923422,1676.0
"expand_contractions, lemmatize",0.8043028712272644,0.6584362139917695,0.863697705802969,0.7472270869819031,741.0,0.9301038062283737,0.801909307875895,0.8612624158923422,1676.0
expand_contractions,0.8146462440490723,0.6584362139917695,0.863697705802969,0.7472270869819031,741.0,0.9301038062283737,0.801909307875895,0.8612624158923422,1676.0
"expand_contractions, pos_tagging",0.7885808944702148,0.6584362139917695,0.863697705802969,0.7472270869819031,741.0,0.9301038062283737,0.801909307875895,0.8612624158923422,1676.0
