combination,accuracy,0_precision,0_recall,0_f1-score,0_support,1_precision,1_recall,1_f1-score,1_support
"clean, expand_contractions, lemmatize",0.8663632602399669,0.7247311827956989,0.9095816464237517,0.8067025733093957,741.0,0.9549428379287155,0.847255369928401,0.8978817578248498,1676.0
"clean, remove_stopwords, lemmatize",0.8663632602399669,0.7247311827956989,0.9095816464237517,0.8067025733093957,741.0,0.9549428379287155,0.847255369928401,0.8978817578248498,1676.0
"clean, lemmatize",0.8663632602399669,0.7247311827956989,0.9095816464237517,0.8067025733093957,741.0,0.9549428379287155,0.847255369928401,0.8978817578248498,1676.0
"clean, expand_contractions, pos_tagging, lemmatize",0.8663632602399669,0.7247311827956989,0.9095816464237517,0.8067025733093957,741.0,0.9549428379287155,0.847255369928401,0.8978817578248498,1676.0
"clean, expand_contractions, remove_stopwords",0.8547786512205213,0.7074468085106383,0.8974358974358975,0.7911957168352172,741.0,0.9485443466486121,0.8359188544152745,0.8886774500475738,1676.0
"clean, remove_stopwords",0.8547786512205213,0.7074468085106383,0.8974358974358975,0.7911957168352172,741.0,0.9485443466486121,0.8359188544152745,0.8886774500475738,1676.0
"clean, pos_tagging, lemmatize",0.8663632602399669,0.7247311827956989,0.9095816464237517,0.8067025733093957,741.0,0.9549428379287155,0.847255369928401,0.8978817578248498,1676.0
"clean, expand_contractions, remove_stopwords, lemmatize",0.8663632602399669,0.7247311827956989,0.9095816464237517,0.8067025733093957,741.0,0.9549428379287155,0.847255369928401,0.8978817578248498,1676.0
"clean, expand_contractions, pos_tagging",0.8589160115846091,0.7141327623126338,0.9001349527665317,0.7964179104477611,741.0,0.9501011463250169,0.8406921241050119,0.8920544476100031,1676.0
"clean, pos_tagging, remove_stopwords",0.8547786512205213,0.7074468085106383,0.8974358974358975,0.7911957168352172,741.0,0.9485443466486121,0.8359188544152745,0.8886774500475738,1676.0
"clean, expand_contractions, pos_tagging, remove_stopwords",0.8547786512205213,0.7074468085106383,0.8974358974358975,0.7911957168352172,741.0,0.9485443466486121,0.8359188544152745,0.8886774500475738,1676.0
"clean, expand_contractions, pos_tagging, remove_stopwords, lemmatize",0.8663632602399669,0.7247311827956989,0.9095816464237517,0.8067025733093957,741.0,0.9549428379287155,0.847255369928401,0.8978817578248498,1676.0
clean,0.862639635912288,0.7177848775292864,0.9095816464237517,0.8023809523809524,741.0,0.9546684709066305,0.8418854415274463,0.8947368421052632,1676.0
"clean, pos_tagging, remove_stopwords, lemmatize",0.8663632602399669,0.7247311827956989,0.9095816464237517,0.8067025733093957,741.0,0.9549428379287155,0.847255369928401,0.8978817578248498,1676.0
"clean, expand_contractions",0.8601572196938353,0.7150480256136607,0.9041835357624831,0.7985697258641239,741.0,0.952027027027027,0.8406921241050119,0.8929024081115335,1676.0
expand_contractions,0.8601572196938353,0.7150480256136607,0.9041835357624831,0.7985697258641239,741.0,0.952027027027027,0.8406921241050119,0.8929024081115335,1676.0
"clean, pos_tagging",0.8589160115846091,0.7141327623126338,0.9001349527665317,0.7964179104477611,741.0,0.9501011463250169,0.8406921241050119,0.8920544476100031,1676.0
"expand_contractions, remove_stopwords",0.8547786512205213,0.7074468085106383,0.8974358974358975,0.7911957168352172,741.0,0.9485443466486121,0.8359188544152745,0.8886774500475738,1676.0
"expand_contractions, lemmatize",0.8663632602399669,0.7247311827956989,0.9095816464237517,0.8067025733093957,741.0,0.9549428379287155,0.847255369928401,0.8978817578248498,1676.0
"expand_contractions, remove_stopwords, lemmatize",0.8663632602399669,0.7247311827956989,0.9095816464237517,0.8067025733093957,741.0,0.9549428379287155,0.847255369928401,0.8978817578248498,1676.0
